,pais,ano,quant_kg,valor_us$,tipo
537,"Tcheca, República",2012,7960,27789,Vinhos de mesa
538,Togo,2012,0,0,Vinhos de mesa
539,Toquelau,2012,0,0,Vinhos de mesa
540,Trinidade Tobago,2012,531,2720,Vinhos de mesa
541,Tunísia,2012,0,0,Vinhos de mesa
542,Turquia,2012,0,0,Vinhos de mesa
543,Tuvalu,2012,0,0,Vinhos de mesa
544,Uruguai,2012,1135,3879,Vinhos de mesa
545,Vanuatu,2012,0,0,Vinhos de mesa
546,Venezuela,2012,1029,7492,Vinhos de mesa
547,Vietnã,2012,0,0,Vinhos de mesa
548,Afeganistão,2013,0,0,Vinhos de mesa
549,África do Sul,2013,0,0,Vinhos de mesa
550,"Alemanha, República Democrática",2013,61699,265978,Vinhos de mesa
551,Angola,2013,1573,9300,Vinhos de mesa
552,Anguilla,2013,0,0,Vinhos de mesa
553,Antígua e Barbuda,2013,0,0,Vinhos de mesa
554,Antilhas Holandesas,2013,11281,19565,Vinhos de mesa
555,Arábia Saudita,2013,0,0,Vinhos de mesa
556,Argentina,2013,0,0,Vinhos de mesa
557,Aruba,2013,0,0,Vinhos de mesa
558,Austrália,2013,16707,101715,Vinhos de mesa
559,Áustria,2013,0,0,Vinhos de mesa
560,Bahamas,2013,581,5145,Vinhos de mesa
561,Bangladesh,2013,0,0,Vinhos de mesa
562,Barbados,2013,0,0,Vinhos de mesa
563,Barein,2013,0,0,Vinhos de mesa
564,Bélgica,2013,22461,95893,Vinhos de mesa
565,Belice,2013,0,0,Vinhos de mesa
566,Benin,2013,0,0,Vinhos de mesa
567,Bermudas,2013,0,0,Vinhos de mesa
568,Bolívia,2013,19147,25998,Vinhos de mesa
569,Bósnia-Herzegovina,2013,0,0,Vinhos de mesa
570,Brasil,2013,0,0,Vinhos de mesa
571,Bulgária,2013,0,0,Vinhos de mesa
572,Cabo Verde,2013,0,0,Vinhos de mesa
573,Camarões,2013,0,0,Vinhos de mesa
574,Canadá,2013,25329,174643,Vinhos de mesa
575,Catar,2013,0,0,Vinhos de mesa
576,"Cayman, Ilhas",2013,0,0,Vinhos de mesa
577,Chile,2013,0,0,Vinhos de mesa
578,China,2013,40929,279956,Vinhos de mesa
579,Chipre,2013,0,0,Vinhos de mesa
580,Cingapura,2013,766,5779,Vinhos de mesa
581,"Cocos (Keeling), Ilhas",2013,0,0,Vinhos de mesa
582,Colômbia,2013,8,30,Vinhos de mesa
583,Comores,2013,0,0,Vinhos de mesa
584,Congo,2013,0,0,Vinhos de mesa
585,"Coreia, Republica Sul",2013,0,0,Vinhos de mesa
586,Costa do Marfim,2013,0,0,Vinhos de mesa
587,Costa Rica,2013,0,0,Vinhos de mesa
588,Croácia,2013,0,0,Vinhos de mesa
589,Cuba,2013,0,0,Vinhos de mesa
590,Curaçao,2013,0,0,Vinhos de mesa
591,Dinamarca,2013,17892,101915,Vinhos de mesa
592,Dominica,2013,0,0,Vinhos de mesa
593,El Salvador,2013,0,0,Vinhos de mesa
594,Emirados Arabes Unidos,2013,0,0,Vinhos de mesa
595,Equador,2013,0,0,Vinhos de mesa
596,"Eslovaca, Republica",2013,0,0,Vinhos de mesa
597,Espanha,2013,1972980,3748940,Vinhos de mesa
598,Estados Unidos,2013,245368,786556,Vinhos de mesa
599,Estônia,2013,0,0,Vinhos de mesa
600,Filipinas,2013,0,0,Vinhos de mesa
601,Finlândia,2013,36682,283114,Vinhos de mesa
602,França,2013,6885,42256,Vinhos de mesa
603,Gana,2013,0,0,Vinhos de mesa
604,Gibraltar,2013,0,0,Vinhos de mesa
605,Granada,2013,0,0,Vinhos de mesa
606,Grécia,2013,0,0,Vinhos de mesa
607,Guatemala,2013,0,0,Vinhos de mesa
608,Guiana,2013,0,0,Vinhos de mesa
609,Guiana Francesa,2013,0,0,Vinhos de mesa
610,Guine Bissau,2013,0,0,Vinhos de mesa
611,Guine Equatorial,2013,1108,5336,Vinhos de mesa
612,Haiti,2013,0,0,Vinhos de mesa
613,Honduras,2013,0,0,Vinhos de mesa
614,Hong Kong,2013,16013,61224,Vinhos de mesa
615,Hungria,2013,0,0,Vinhos de mesa
616,Ilha de Man,2013,0,0,Vinhos de mesa
617,Ilhas Virgens,2013,0,0,Vinhos de mesa
618,India,2013,0,0,Vinhos de mesa
619,Indonésia,2013,0,0,Vinhos de mesa
620,Irã,2013,0,0,Vinhos de mesa
621,Iraque,2013,0,0,Vinhos de mesa
622,Irlanda,2013,0,0,Vinhos de mesa
623,Itália,2013,1710,11967,Vinhos de mesa
624,Jamaica,2013,0,0,Vinhos de mesa
625,Japão,2013,91988,429088,Vinhos de mesa
626,Jordânia,2013,0,0,Vinhos de mesa
627,Letônia,2013,0,0,Vinhos de mesa
628,Líbano,2013,0,0,Vinhos de mesa
629,Libéria,2013,0,0,Vinhos de mesa
630,Luxemburgo,2013,5135,29474,Vinhos de mesa
631,Macau,2013,0,0,Vinhos de mesa
632,Malásia,2013,0,0,Vinhos de mesa
633,Malavi,2013,0,0,Vinhos de mesa
634,Malta,2013,0,0,Vinhos de mesa
635,"Marshall, Ilhas",2013,0,0,Vinhos de mesa
636,Martinica,2013,0,0,Vinhos de mesa
637,Mauritânia,2013,0,0,Vinhos de mesa
638,México,2013,0,0,Vinhos de mesa
639,Moçambique,2013,0,0,Vinhos de mesa
640,Montenegro,2013,0,0,Vinhos de mesa
641,Namíbia,2013,0,0,Vinhos de mesa
642,Nicarágua,2013,0,0,Vinhos de mesa
643,Nigéria,2013,1350,2245,Vinhos de mesa
644,Noruega,2013,2375,19008,Vinhos de mesa
645,Nova Caledônia,2013,0,0,Vinhos de mesa
646,Nova Zelândia,2013,1004,4092,Vinhos de mesa
647,Omã,2013,0,0,Vinhos de mesa
648,Países Baixos,2013,57792,255690,Vinhos de mesa
649,Palau,2013,0,0,Vinhos de mesa
650,Panamá,2013,0,0,Vinhos de mesa
651,Paraguai,2013,481564,680828,Vinhos de mesa
652,Peru,2013,0,0,Vinhos de mesa
653,Pitcairn,2013,0,0,Vinhos de mesa
654,Polônia,2013,19249,90960,Vinhos de mesa
655,Porto Rico,2013,0,0,Vinhos de mesa
656,Portugal,2013,23810,17627,Vinhos de mesa
657,Quênia,2013,6,4,Vinhos de mesa
658,Reino Unido,2013,59161,305005,Vinhos de mesa
659,República Dominicana,2013,0,0,Vinhos de mesa
660,Rússia,2013,5893291,14795694,Vinhos de mesa
661,São Cristóvão e Névis,2013,0,0,Vinhos de mesa
662,São Tomé e Príncipe,2013,0,0,Vinhos de mesa
663,São Vicente e Granadinas,2013,0,0,Vinhos de mesa
664,Senegal,2013,0,0,Vinhos de mesa
665,Serra Leoa,2013,0,0,Vinhos de mesa
666,Singapura,2013,0,0,Vinhos de mesa
667,Suazilândia,2013,0,0,Vinhos de mesa
668,Suécia,2013,3195,20183,Vinhos de mesa
669,Suíça,2013,2997,29785,Vinhos de mesa
670,Suriname,2013,1800,2960,Vinhos de mesa
671,Tailândia,2013,0,0,Vinhos de mesa
672,Taiwan (Formosa),2013,0,0,Vinhos de mesa
673,Tanzânia,2013,0,0,Vinhos de mesa
674,"Tcheca, República",2013,3697,23549,Vinhos de mesa
675,Togo,2013,0,0,Vinhos de mesa
676,Toquelau,2013,0,0,Vinhos de mesa
677,Trinidade Tobago,2013,0,0,Vinhos de mesa
678,Tunísia,2013,0,0,Vinhos de mesa
679,Turquia,2013,0,0,Vinhos de mesa
680,Tuvalu,2013,0,0,Vinhos de mesa
681,Uruguai,2013,1526,13343,Vinhos de mesa
682,Vanuatu,2013,0,0,Vinhos de mesa
683,Venezuela,2013,0,0,Vinhos de mesa
684,Vietnã,2013,0,0,Vinhos de mesa
685,Afeganistão,2014,0,0,Vinhos de mesa
686,África do Sul,2014,0,0,Vinhos de mesa
687,"Alemanha, República Democrática",2014,213348,761653,Vinhos de mesa
688,Angola,2014,12182,23124,Vinhos de mesa
689,Anguilla,2014,0,0,Vinhos de mesa
690,Antígua e Barbuda,2014,0,0,Vinhos de mesa
691,Antilhas Holandesas,2014,4455,7169,Vinhos de mesa
692,Arábia Saudita,2014,0,0,Vinhos de mesa
693,Argentina,2014,20385,95130,Vinhos de mesa
694,Aruba,2014,450,755,Vinhos de mesa
695,Austrália,2014,6308,43709,Vinhos de mesa
696,Áustria,2014,0,0,Vinhos de mesa
697,Bahamas,2014,0,0,Vinhos de mesa
698,Bangladesh,2014,0,0,Vinhos de mesa
699,Barbados,2014,0,0,Vinhos de mesa
700,Barein,2014,0,0,Vinhos de mesa
701,Bélgica,2014,151320,704093,Vinhos de mesa
702,Belice,2014,0,0,Vinhos de mesa
703,Benin,2014,0,0,Vinhos de mesa
704,Bermudas,2014,0,0,Vinhos de mesa
705,Bolívia,2014,12534,18303,Vinhos de mesa
706,Bósnia-Herzegovina,2014,0,0,Vinhos de mesa
707,Brasil,2014,0,0,Vinhos de mesa
708,Bulgária,2014,0,0,Vinhos de mesa
709,Cabo Verde,2014,0,0,Vinhos de mesa
710,Camarões,2014,0,0,Vinhos de mesa
711,Canadá,2014,35082,226875,Vinhos de mesa
712,Catar,2014,0,0,Vinhos de mesa
713,"Cayman, Ilhas",2014,0,0,Vinhos de mesa
714,Chile,2014,0,0,Vinhos de mesa
715,China,2014,64040,455340,Vinhos de mesa
716,Chipre,2014,0,0,Vinhos de mesa
717,Cingapura,2014,541,3887,Vinhos de mesa
718,"Cocos (Keeling), Ilhas",2014,0,0,Vinhos de mesa
719,Colômbia,2014,0,0,Vinhos de mesa
720,Comores,2014,0,0,Vinhos de mesa
721,Congo,2014,0,0,Vinhos de mesa
722,"Coreia, Republica Sul",2014,0,0,Vinhos de mesa
723,Costa do Marfim,2014,0,0,Vinhos de mesa
724,Costa Rica,2014,0,0,Vinhos de mesa
725,Croácia,2014,0,0,Vinhos de mesa
726,Cuba,2014,38875,43200,Vinhos de mesa
727,Curaçao,2014,0,0,Vinhos de mesa
728,Dinamarca,2014,3240,16871,Vinhos de mesa
729,Dominica,2014,0,0,Vinhos de mesa
730,El Salvador,2014,0,0,Vinhos de mesa
731,Emirados Arabes Unidos,2014,640,3381,Vinhos de mesa
732,Equador,2014,0,0,Vinhos de mesa
733,"Eslovaca, Republica",2014,0,0,Vinhos de mesa
734,Espanha,2014,0,0,Vinhos de mesa
735,Estados Unidos,2014,222267,494216,Vinhos de mesa
736,Estônia,2014,0,0,Vinhos de mesa
737,Filipinas,2014,0,0,Vinhos de mesa
738,Finlândia,2014,12960,94962,Vinhos de mesa
739,França,2014,33755,167807,Vinhos de mesa
740,Gana,2014,0,0,Vinhos de mesa
741,Gibraltar,2014,0,0,Vinhos de mesa
742,Granada,2014,0,0,Vinhos de mesa
743,Grécia,2014,0,0,Vinhos de mesa
744,Guatemala,2014,0,0,Vinhos de mesa
745,Guiana,2014,0,0,Vinhos de mesa
746,Guiana Francesa,2014,0,0,Vinhos de mesa
747,Guine Bissau,2014,0,0,Vinhos de mesa
748,Guine Equatorial,2014,5646,11983,Vinhos de mesa
749,Haiti,2014,0,0,Vinhos de mesa
750,Honduras,2014,0,0,Vinhos de mesa
751,Hong Kong,2014,18130,63534,Vinhos de mesa
752,Hungria,2014,0,0,Vinhos de mesa
753,Ilha de Man,2014,0,0,Vinhos de mesa
754,Ilhas Virgens,2014,0,0,Vinhos de mesa
755,India,2014,0,0,Vinhos de mesa
756,Indonésia,2014,0,0,Vinhos de mesa
757,Irã,2014,0,0,Vinhos de mesa
758,Iraque,2014,0,0,Vinhos de mesa
759,Irlanda,2014,0,0,Vinhos de mesa
760,Itália,2014,604,2492,Vinhos de mesa
761,Jamaica,2014,0,0,Vinhos de mesa
762,Japão,2014,106426,401774,Vinhos de mesa
763,Jordânia,2014,0,0,Vinhos de mesa
764,Letônia,2014,0,0,Vinhos de mesa
765,Líbano,2014,0,0,Vinhos de mesa
766,Libéria,2014,0,0,Vinhos de mesa
767,Luxemburgo,2014,8281,52400,Vinhos de mesa
768,Macau,2014,0,0,Vinhos de mesa
769,Malásia,2014,0,0,Vinhos de mesa
770,Malavi,2014,0,0,Vinhos de mesa
771,Malta,2014,0,0,Vinhos de mesa
772,"Marshall, Ilhas",2014,0,0,Vinhos de mesa
773,Martinica,2014,0,0,Vinhos de mesa
774,Mauritânia,2014,0,0,Vinhos de mesa
775,México,2014,1521,24336,Vinhos de mesa
776,Moçambique,2014,0,0,Vinhos de mesa
777,Montenegro,2014,0,0,Vinhos de mesa
778,Namíbia,2014,0,0,Vinhos de mesa
779,Nicarágua,2014,0,0,Vinhos de mesa
780,Nigéria,2014,0,0,Vinhos de mesa
781,Noruega,2014,7179,50464,Vinhos de mesa
782,Nova Caledônia,2014,0,0,Vinhos de mesa
783,Nova Zelândia,2014,2800,13675,Vinhos de mesa
784,Omã,2014,0,0,Vinhos de mesa
785,Países Baixos,2014,165289,773767,Vinhos de mesa
786,Palau,2014,0,0,Vinhos de mesa
787,Panamá,2014,0,0,Vinhos de mesa
788,Paraguai,2014,521847,908028,Vinhos de mesa
789,Peru,2014,0,0,Vinhos de mesa
790,Pitcairn,2014,0,0,Vinhos de mesa
791,Polônia,2014,30181,107957,Vinhos de mesa
792,Porto Rico,2014,0,0,Vinhos de mesa
793,Portugal,2014,71544,79141,Vinhos de mesa
794,Quênia,2014,0,0,Vinhos de mesa
795,Reino Unido,2014,305807,1373747,Vinhos de mesa
796,República Dominicana,2014,0,0,Vinhos de mesa
797,Rússia,2014,190656,61440,Vinhos de mesa
798,São Cristóvão e Névis,2014,0,0,Vinhos de mesa
799,São Tomé e Príncipe,2014,0,0,Vinhos de mesa
800,São Vicente e Granadinas,2014,0,0,Vinhos de mesa
801,Senegal,2014,0,0,Vinhos de mesa
802,Serra Leoa,2014,0,0,Vinhos de mesa
803,Singapura,2014,0,0,Vinhos de mesa
804,Suazilândia,2014,0,0,Vinhos de mesa
805,Suécia,2014,10404,51057,Vinhos de mesa
806,Suíça,2014,27933,231762,Vinhos de mesa
807,Suriname,2014,6,19,Vinhos de mesa
808,Tailândia,2014,0,0,Vinhos de mesa
809,Taiwan (Formosa),2014,12519,67907,Vinhos de mesa
810,Tanzânia,2014,0,0,Vinhos de mesa
811,"Tcheca, República",2014,4500,35005,Vinhos de mesa
812,Togo,2014,0,0,Vinhos de mesa
813,Toquelau,2014,0,0,Vinhos de mesa
814,Trinidade Tobago,2014,360,1600,Vinhos de mesa
815,Tunísia,2014,0,0,Vinhos de mesa
816,Turquia,2014,0,0,Vinhos de mesa
817,Tuvalu,2014,0,0,Vinhos de mesa
818,Uruguai,2014,0,0,Vinhos de mesa
819,Vanuatu,2014,0,0,Vinhos de mesa
820,Venezuela,2014,14,232,Vinhos de mesa
821,Vietnã,2014,0,0,Vinhos de mesa
822,Afeganistão,2015,0,0,Vinhos de mesa
823,África do Sul,2015,0,0,Vinhos de mesa
824,"Alemanha, República Democrática",2015,10680,44780,Vinhos de mesa
825,Angola,2015,1908,17089,Vinhos de mesa
826,Anguilla,2015,0,0,Vinhos de mesa
827,Antígua e Barbuda,2015,0,0,Vinhos de mesa
828,Antilhas Holandesas,2015,6660,10545,Vinhos de mesa
829,Arábia Saudita,2015,0,0,Vinhos de mesa
830,Argentina,2015,0,0,Vinhos de mesa
831,Aruba,2015,0,0,Vinhos de mesa
832,Austrália,2015,7437,48011,Vinhos de mesa
833,Áustria,2015,0,0,Vinhos de mesa
834,Bahamas,2015,0,0,Vinhos de mesa
835,Bangladesh,2015,0,0,Vinhos de mesa
836,Barbados,2015,0,0,Vinhos de mesa
837,Barein,2015,0,0,Vinhos de mesa
838,Bélgica,2015,4473,26399,Vinhos de mesa
839,Belice,2015,0,0,Vinhos de mesa
840,Benin,2015,0,0,Vinhos de mesa
841,Bermudas,2015,0,0,Vinhos de mesa
842,Bolívia,2015,10674,12990,Vinhos de mesa
843,Bósnia-Herzegovina,2015,0,0,Vinhos de mesa
844,Brasil,2015,0,0,Vinhos de mesa
845,Bulgária,2015,0,0,Vinhos de mesa
846,Cabo Verde,2015,0,0,Vinhos de mesa
847,Camarões,2015,0,0,Vinhos de mesa
848,Canadá,2015,24547,118394,Vinhos de mesa
849,Catar,2015,0,0,Vinhos de mesa
850,"Cayman, Ilhas",2015,0,0,Vinhos de mesa
851,Chile,2015,0,0,Vinhos de mesa
852,China,2015,47609,222866,Vinhos de mesa
853,Chipre,2015,0,0,Vinhos de mesa
854,Cingapura,2015,1116,2774,Vinhos de mesa
855,"Cocos (Keeling), Ilhas",2015,0,0,Vinhos de mesa
856,Colômbia,2015,0,0,Vinhos de mesa
857,Comores,2015,0,0,Vinhos de mesa
858,Congo,2015,0,0,Vinhos de mesa
859,"Coreia, Republica Sul",2015,0,0,Vinhos de mesa
860,Costa do Marfim,2015,0,0,Vinhos de mesa
861,Costa Rica,2015,0,0,Vinhos de mesa
862,Croácia,2015,0,0,Vinhos de mesa
863,Cuba,2015,97965,108864,Vinhos de mesa
864,Curaçao,2015,0,0,Vinhos de mesa
865,Dinamarca,2015,7080,29306,Vinhos de mesa
866,Dominica,2015,0,0,Vinhos de mesa
867,El Salvador,2015,0,0,Vinhos de mesa
868,Emirados Arabes Unidos,2015,765,3740,Vinhos de mesa
869,Equador,2015,0,0,Vinhos de mesa
870,"Eslovaca, Republica",2015,0,0,Vinhos de mesa
871,Espanha,2015,0,0,Vinhos de mesa
872,Estados Unidos,2015,195896,524109,Vinhos de mesa
873,Estônia,2015,0,0,Vinhos de mesa
874,Filipinas,2015,0,0,Vinhos de mesa
875,Finlândia,2015,0,0,Vinhos de mesa
876,França,2015,1596,4749,Vinhos de mesa
877,Gana,2015,0,0,Vinhos de mesa
878,Gibraltar,2015,0,0,Vinhos de mesa
879,Granada,2015,0,0,Vinhos de mesa
880,Grécia,2015,0,0,Vinhos de mesa
881,Guatemala,2015,0,0,Vinhos de mesa
882,Guiana,2015,0,0,Vinhos de mesa
883,Guiana Francesa,2015,0,0,Vinhos de mesa
884,Guine Bissau,2015,0,0,Vinhos de mesa
885,Guine Equatorial,2015,0,0,Vinhos de mesa
886,Haiti,2015,0,0,Vinhos de mesa
887,Honduras,2015,0,0,Vinhos de mesa
888,Hong Kong,2015,1229,7837,Vinhos de mesa
889,Hungria,2015,0,0,Vinhos de mesa
890,Ilha de Man,2015,0,0,Vinhos de mesa
891,Ilhas Virgens,2015,0,0,Vinhos de mesa
892,India,2015,0,0,Vinhos de mesa
893,Indonésia,2015,0,0,Vinhos de mesa
894,Irã,2015,0,0,Vinhos de mesa
895,Iraque,2015,0,0,Vinhos de mesa
896,Irlanda,2015,0,0,Vinhos de mesa
897,Itália,2015,0,0,Vinhos de mesa
898,Jamaica,2015,0,0,Vinhos de mesa
899,Japão,2015,31597,87853,Vinhos de mesa
900,Jordânia,2015,0,0,Vinhos de mesa
901,Letônia,2015,0,0,Vinhos de mesa
902,Líbano,2015,0,0,Vinhos de mesa
903,Libéria,2015,0,0,Vinhos de mesa
904,Luxemburgo,2015,2295,17358,Vinhos de mesa
905,Macau,2015,0,0,Vinhos de mesa
906,Malásia,2015,0,0,Vinhos de mesa
907,Malavi,2015,0,0,Vinhos de mesa
908,Malta,2015,0,0,Vinhos de mesa
909,"Marshall, Ilhas",2015,0,0,Vinhos de mesa
910,Martinica,2015,0,0,Vinhos de mesa
911,Mauritânia,2015,0,0,Vinhos de mesa
912,México,2015,0,0,Vinhos de mesa
913,Moçambique,2015,0,0,Vinhos de mesa
914,Montenegro,2015,0,0,Vinhos de mesa
915,Namíbia,2015,0,0,Vinhos de mesa
916,Nicarágua,2015,0,0,Vinhos de mesa
917,Nigéria,2015,0,0,Vinhos de mesa
918,Noruega,2015,1058,6021,Vinhos de mesa
919,Nova Caledônia,2015,0,0,Vinhos de mesa
920,Nova Zelândia,2015,809,3476,Vinhos de mesa
921,Omã,2015,0,0,Vinhos de mesa
922,Países Baixos,2015,44987,186464,Vinhos de mesa
923,Palau,2015,0,0,Vinhos de mesa
924,Panamá,2015,0,0,Vinhos de mesa
925,Paraguai,2015,495428,741370,Vinhos de mesa
926,Peru,2015,0,0,Vinhos de mesa
927,Pitcairn,2015,0,0,Vinhos de mesa
928,Polônia,2015,11654,42781,Vinhos de mesa
929,Porto Rico,2015,0,0,Vinhos de mesa
930,Portugal,2015,47736,42586,Vinhos de mesa
931,Quênia,2015,0,0,Vinhos de mesa
932,Reino Unido,2015,68382,308407,Vinhos de mesa
933,República Dominicana,2015,0,0,Vinhos de mesa
934,Rússia,2015,47664,18240,Vinhos de mesa
935,São Cristóvão e Névis,2015,0,0,Vinhos de mesa
936,São Tomé e Príncipe,2015,0,0,Vinhos de mesa
937,São Vicente e Granadinas,2015,0,0,Vinhos de mesa
938,Senegal,2015,0,0,Vinhos de mesa
939,Serra Leoa,2015,0,0,Vinhos de mesa
940,Singapura,2015,0,0,Vinhos de mesa
941,Suazilândia,2015,0,0,Vinhos de mesa
942,Suécia,2015,1412,6404,Vinhos de mesa
943,Suíça,2015,15872,85790,Vinhos de mesa
944,Suriname,2015,453,713,Vinhos de mesa
945,Tailândia,2015,0,0,Vinhos de mesa
946,Taiwan (Formosa),2015,7200,23940,Vinhos de mesa
947,Tanzânia,2015,0,0,Vinhos de mesa
948,"Tcheca, República",2015,2297,15304,Vinhos de mesa
949,Togo,2015,0,0,Vinhos de mesa
950,Toquelau,2015,0,0,Vinhos de mesa
951,Trinidade Tobago,2015,0,0,Vinhos de mesa
952,Tunísia,2015,0,0,Vinhos de mesa
953,Turquia,2015,0,0,Vinhos de mesa
954,Tuvalu,2015,0,0,Vinhos de mesa
955,Uruguai,2015,0,0,Vinhos de mesa
956,Vanuatu,2015,0,0,Vinhos de mesa
957,Venezuela,2015,0,0,Vinhos de mesa
958,Vietnã,2015,0,0,Vinhos de mesa
959,Afeganistão,2016,0,0,Vinhos de mesa
960,África do Sul,2016,0,0,Vinhos de mesa
961,"Alemanha, República Democrática",2016,14012,68109,Vinhos de mesa
962,Angola,2016,7359,35390,Vinhos de mesa
963,Anguilla,2016,0,0,Vinhos de mesa
964,Antígua e Barbuda,2016,0,0,Vinhos de mesa
965,Antilhas Holandesas,2016,16641,26450,Vinhos de mesa
966,Arábia Saudita,2016,0,0,Vinhos de mesa
967,Argentina,2016,0,0,Vinhos de mesa
968,Aruba,2016,0,0,Vinhos de mesa
969,Austrália,2016,1954,13799,Vinhos de mesa
970,Áustria,2016,675,5220,Vinhos de mesa
971,Bahamas,2016,0,0,Vinhos de mesa
972,Bangladesh,2016,0,0,Vinhos de mesa
973,Barbados,2016,0,0,Vinhos de mesa
974,Barein,2016,0,0,Vinhos de mesa
975,Bélgica,2016,7200,46534,Vinhos de mesa
976,Belice,2016,0,0,Vinhos de mesa
977,Benin,2016,5040,20333,Vinhos de mesa
978,Bermudas,2016,0,0,Vinhos de mesa
979,Bolívia,2016,13586,16902,Vinhos de mesa
980,Bósnia-Herzegovina,2016,0,0,Vinhos de mesa
981,Brasil,2016,0,0,Vinhos de mesa
982,Bulgária,2016,0,0,Vinhos de mesa
983,Cabo Verde,2016,0,0,Vinhos de mesa
984,Camarões,2016,0,0,Vinhos de mesa
985,Canadá,2016,13711,71096,Vinhos de mesa
986,Catar,2016,0,0,Vinhos de mesa
987,"Cayman, Ilhas",2016,0,0,Vinhos de mesa
988,Chile,2016,0,0,Vinhos de mesa
989,China,2016,134106,499622,Vinhos de mesa
990,Chipre,2016,0,0,Vinhos de mesa
991,Cingapura,2016,5445,13199,Vinhos de mesa
992,"Cocos (Keeling), Ilhas",2016,0,0,Vinhos de mesa
993,Colômbia,2016,0,0,Vinhos de mesa
994,Comores,2016,0,0,Vinhos de mesa
995,Congo,2016,0,0,Vinhos de mesa
996,"Coreia, Republica Sul",2016,8,20,Vinhos de mesa
997,Costa do Marfim,2016,0,0,Vinhos de mesa
998,Costa Rica,2016,0,0,Vinhos de mesa
999,Croácia,2016,0,0,Vinhos de mesa
1000,Cuba,2016,63741,69830,Vinhos de mesa
1001,Curaçao,2016,0,0,Vinhos de mesa
1002,Dinamarca,2016,1278,8171,Vinhos de mesa
1003,Dominica,2016,0,0,Vinhos de mesa
1004,El Salvador,2016,0,0,Vinhos de mesa
1005,Emirados Arabes Unidos,2016,585,2760,Vinhos de mesa
1006,Equador,2016,0,0,Vinhos de mesa
1007,"Eslovaca, Republica",2016,0,0,Vinhos de mesa
1008,Espanha,2016,0,0,Vinhos de mesa
1009,Estados Unidos,2016,258072,687411,Vinhos de mesa
1010,Estônia,2016,900,4800,Vinhos de mesa
1011,Filipinas,2016,0,0,Vinhos de mesa
1012,Finlândia,2016,7617,41003,Vinhos de mesa
1013,França,2016,6037,30055,Vinhos de mesa
1014,Gana,2016,0,0,Vinhos de mesa
1015,Gibraltar,2016,0,0,Vinhos de mesa
1016,Granada,2016,0,0,Vinhos de mesa
1017,Grécia,2016,0,0,Vinhos de mesa
1018,Guatemala,2016,0,0,Vinhos de mesa
1019,Guiana,2016,0,0,Vinhos de mesa
1020,Guiana Francesa,2016,0,0,Vinhos de mesa
1021,Guine Bissau,2016,0,0,Vinhos de mesa
1022,Guine Equatorial,2016,0,0,Vinhos de mesa
1023,Haiti,2016,0,0,Vinhos de mesa
1024,Honduras,2016,0,0,Vinhos de mesa
1025,Hong Kong,2016,6975,86199,Vinhos de mesa
1026,Hungria,2016,0,0,Vinhos de mesa
1027,Ilha de Man,2016,0,0,Vinhos de mesa
1028,Ilhas Virgens,2016,0,0,Vinhos de mesa
1029,India,2016,0,0,Vinhos de mesa
1030,Indonésia,2016,0,0,Vinhos de mesa
1031,Irã,2016,0,0,Vinhos de mesa
1032,Iraque,2016,0,0,Vinhos de mesa
1033,Irlanda,2016,0,0,Vinhos de mesa
1034,Itália,2016,585,3465,Vinhos de mesa
1035,Jamaica,2016,0,0,Vinhos de mesa
1036,Japão,2016,34341,90954,Vinhos de mesa
1037,Jordânia,2016,0,0,Vinhos de mesa
1038,Letônia,2016,0,0,Vinhos de mesa
1039,Líbano,2016,0,0,Vinhos de mesa
1040,Libéria,2016,0,0,Vinhos de mesa
1041,Luxemburgo,2016,2759,21426,Vinhos de mesa
1042,Macau,2016,0,0,Vinhos de mesa
1043,Malásia,2016,0,0,Vinhos de mesa
1044,Malavi,2016,0,0,Vinhos de mesa
1045,Malta,2016,0,0,Vinhos de mesa
1046,"Marshall, Ilhas",2016,0,0,Vinhos de mesa
1047,Martinica,2016,0,0,Vinhos de mesa
1048,Mauritânia,2016,0,0,Vinhos de mesa
1049,México,2016,0,0,Vinhos de mesa
1050,Moçambique,2016,0,0,Vinhos de mesa
1051,Montenegro,2016,0,0,Vinhos de mesa
1052,Namíbia,2016,0,0,Vinhos de mesa
1053,Nicarágua,2016,0,0,Vinhos de mesa
1054,Nigéria,2016,0,0,Vinhos de mesa
1055,Noruega,2016,0,0,Vinhos de mesa
1056,Nova Caledônia,2016,0,0,Vinhos de mesa
1057,Nova Zelândia,2016,504,9472,Vinhos de mesa
1058,Omã,2016,0,0,Vinhos de mesa
1059,Países Baixos,2016,42953,190203,Vinhos de mesa
1060,Palau,2016,0,0,Vinhos de mesa
1061,Panamá,2016,0,0,Vinhos de mesa
1062,Paraguai,2016,985739,1655417,Vinhos de mesa
1063,Peru,2016,0,0,Vinhos de mesa
1064,Pitcairn,2016,0,0,Vinhos de mesa
1065,Polônia,2016,11457,35402,Vinhos de mesa
1066,Porto Rico,2016,0,0,Vinhos de mesa
1067,Portugal,2016,0,0,Vinhos de mesa
1068,Quênia,2016,0,0,Vinhos de mesa
1069,Reino Unido,2016,117044,536681,Vinhos de mesa
1070,República Dominicana,2016,0,0,Vinhos de mesa
1071,Rússia,2016,0,0,Vinhos de mesa
1072,São Cristóvão e Névis,2016,0,0,Vinhos de mesa
1073,São Tomé e Príncipe,2016,0,0,Vinhos de mesa
