,pais,ano,quant_kg,valor_us$,tipo
108,Portugal,2009,141000,168923,Vinhos de mesa
109,Quênia,2009,0,0,Vinhos de mesa
110,Reino Unido,2009,30092,68788,Vinhos de mesa
111,República Dominicana,2009,0,0,Vinhos de mesa
112,Rússia,2009,21912914,5732280,Vinhos de mesa
113,São Cristóvão e Névis,2009,0,0,Vinhos de mesa
114,São Tomé e Príncipe,2009,0,0,Vinhos de mesa
115,São Vicente e Granadinas,2009,0,0,Vinhos de mesa
116,Senegal,2009,0,0,Vinhos de mesa
117,Serra Leoa,2009,0,0,Vinhos de mesa
118,Singapura,2009,0,0,Vinhos de mesa
119,Suazilândia,2009,0,0,Vinhos de mesa
120,Suécia,2009,28334,52826,Vinhos de mesa
121,Suíça,2009,27653,81319,Vinhos de mesa
122,Suriname,2009,3830,12918,Vinhos de mesa
123,Tailândia,2009,0,0,Vinhos de mesa
124,Taiwan (Formosa),2009,0,0,Vinhos de mesa
125,Tanzânia,2009,0,0,Vinhos de mesa
126,"Tcheca, República",2009,9269,43902,Vinhos de mesa
127,Togo,2009,0,0,Vinhos de mesa
128,Toquelau,2009,0,0,Vinhos de mesa
129,Trinidade Tobago,2009,0,0,Vinhos de mesa
130,Tunísia,2009,0,0,Vinhos de mesa
131,Turquia,2009,0,0,Vinhos de mesa
132,Tuvalu,2009,0,0,Vinhos de mesa
133,Uruguai,2009,0,0,Vinhos de mesa
134,Vanuatu,2009,0,0,Vinhos de mesa
135,Venezuela,2009,0,0,Vinhos de mesa
136,Vietnã,2009,743,2143,Vinhos de mesa
137,Afeganistão,2010,0,0,Vinhos de mesa
138,África do Sul,2010,0,0,Vinhos de mesa
139,"Alemanha, República Democrática",2010,27715,138666,Vinhos de mesa
140,Angola,2010,33557,189891,Vinhos de mesa
141,Anguilla,2010,0,0,Vinhos de mesa
142,Antígua e Barbuda,2010,0,0,Vinhos de mesa
143,Antilhas Holandesas,2010,9810,12808,Vinhos de mesa
144,Arábia Saudita,2010,0,0,Vinhos de mesa
145,Argentina,2010,0,0,Vinhos de mesa
146,Aruba,2010,0,0,Vinhos de mesa
147,Austrália,2010,1823,17960,Vinhos de mesa
148,Áustria,2010,0,0,Vinhos de mesa
149,Bahamas,2010,3175,12759,Vinhos de mesa
150,Bangladesh,2010,0,0,Vinhos de mesa
151,Barbados,2010,0,0,Vinhos de mesa
152,Barein,2010,0,0,Vinhos de mesa
153,Bélgica,2010,42532,185411,Vinhos de mesa
154,Belice,2010,0,0,Vinhos de mesa
155,Benin,2010,0,0,Vinhos de mesa
156,Bermudas,2010,0,0,Vinhos de mesa
157,Bolívia,2010,54,282,Vinhos de mesa
158,Bósnia-Herzegovina,2010,0,0,Vinhos de mesa
159,Brasil,2010,0,0,Vinhos de mesa
160,Bulgária,2010,0,0,Vinhos de mesa
161,Cabo Verde,2010,11991,49366,Vinhos de mesa
162,Camarões,2010,0,0,Vinhos de mesa
163,Canadá,2010,0,0,Vinhos de mesa
164,Catar,2010,0,0,Vinhos de mesa
165,"Cayman, Ilhas",2010,0,0,Vinhos de mesa
166,Chile,2010,0,0,Vinhos de mesa
167,China,2010,795,2358,Vinhos de mesa
168,Chipre,2010,0,0,Vinhos de mesa
169,Cingapura,2010,1533,5504,Vinhos de mesa
170,"Cocos (Keeling), Ilhas",2010,0,0,Vinhos de mesa
171,Colômbia,2010,0,0,Vinhos de mesa
172,Comores,2010,0,0,Vinhos de mesa
173,Congo,2010,0,0,Vinhos de mesa
174,"Coreia, Republica Sul",2010,0,0,Vinhos de mesa
175,Costa do Marfim,2010,0,0,Vinhos de mesa
176,Costa Rica,2010,0,0,Vinhos de mesa
177,Croácia,2010,0,0,Vinhos de mesa
178,Cuba,2010,0,0,Vinhos de mesa
179,Curaçao,2010,0,0,Vinhos de mesa
180,Dinamarca,2010,7034,69161,Vinhos de mesa
181,Dominica,2010,0,0,Vinhos de mesa
182,El Salvador,2010,0,0,Vinhos de mesa
183,Emirados Arabes Unidos,2010,1035,3206,Vinhos de mesa
184,Equador,2010,0,0,Vinhos de mesa
185,"Eslovaca, Republica",2010,0,0,Vinhos de mesa
186,Espanha,2010,0,0,Vinhos de mesa
187,Estados Unidos,2010,228968,478630,Vinhos de mesa
188,Estônia,2010,15848,40778,Vinhos de mesa
189,Filipinas,2010,0,0,Vinhos de mesa
190,Finlândia,2010,0,0,Vinhos de mesa
191,França,2010,3614,18904,Vinhos de mesa
192,Gana,2010,0,0,Vinhos de mesa
193,Gibraltar,2010,0,0,Vinhos de mesa
194,Granada,2010,0,0,Vinhos de mesa
195,Grécia,2010,0,0,Vinhos de mesa
196,Guatemala,2010,0,0,Vinhos de mesa
197,Guiana,2010,783,3654,Vinhos de mesa
198,Guiana Francesa,2010,0,0,Vinhos de mesa
199,Guine Bissau,2010,0,0,Vinhos de mesa
200,Guine Equatorial,2010,410,1015,Vinhos de mesa
201,Haiti,2010,2700,3750,Vinhos de mesa
202,Honduras,2010,0,0,Vinhos de mesa
203,Hong Kong,2010,0,0,Vinhos de mesa
204,Hungria,2010,540,4103,Vinhos de mesa
205,Ilha de Man,2010,0,0,Vinhos de mesa
206,Ilhas Virgens,2010,0,0,Vinhos de mesa
207,India,2010,0,0,Vinhos de mesa
208,Indonésia,2010,0,0,Vinhos de mesa
209,Irã,2010,0,0,Vinhos de mesa
210,Iraque,2010,0,0,Vinhos de mesa
211,Irlanda,2010,3969,42795,Vinhos de mesa
212,Itália,2010,1458,4828,Vinhos de mesa
213,Jamaica,2010,0,0,Vinhos de mesa
214,Japão,2010,112178,74628,Vinhos de mesa
215,Jordânia,2010,0,0,Vinhos de mesa
216,Letônia,2010,0,0,Vinhos de mesa
217,Líbano,2010,0,0,Vinhos de mesa
218,Libéria,2010,0,0,Vinhos de mesa
219,Luxemburgo,2010,7344,32549,Vinhos de mesa
220,Macau,2010,0,0,Vinhos de mesa
221,Malásia,2010,0,0,Vinhos de mesa
222,Malavi,2010,0,0,Vinhos de mesa
223,Malta,2010,0,0,Vinhos de mesa
224,"Marshall, Ilhas",2010,0,0,Vinhos de mesa
225,Martinica,2010,0,0,Vinhos de mesa
226,Mauritânia,2010,0,0,Vinhos de mesa
227,México,2010,0,0,Vinhos de mesa
228,Moçambique,2010,0,0,Vinhos de mesa
229,Montenegro,2010,0,0,Vinhos de mesa
230,Namíbia,2010,0,0,Vinhos de mesa
231,Nicarágua,2010,0,0,Vinhos de mesa
232,Nigéria,2010,0,0,Vinhos de mesa
233,Noruega,2010,0,0,Vinhos de mesa
234,Nova Caledônia,2010,0,0,Vinhos de mesa
235,Nova Zelândia,2010,0,0,Vinhos de mesa
236,Omã,2010,0,0,Vinhos de mesa
237,Países Baixos,2010,87368,302182,Vinhos de mesa
238,Palau,2010,0,0,Vinhos de mesa
239,Panamá,2010,0,0,Vinhos de mesa
240,Paraguai,2010,510989,449197,Vinhos de mesa
241,Peru,2010,0,0,Vinhos de mesa
242,Pitcairn,2010,0,0,Vinhos de mesa
243,Polônia,2010,20464,95198,Vinhos de mesa
244,Porto Rico,2010,0,0,Vinhos de mesa
245,Portugal,2010,4577,18970,Vinhos de mesa
246,Quênia,2010,0,0,Vinhos de mesa
247,Reino Unido,2010,123624,295690,Vinhos de mesa
248,República Dominicana,2010,0,0,Vinhos de mesa
249,Rússia,2010,0,0,Vinhos de mesa
250,São Cristóvão e Névis,2010,0,0,Vinhos de mesa
251,São Tomé e Príncipe,2010,0,0,Vinhos de mesa
252,São Vicente e Granadinas,2010,0,0,Vinhos de mesa
253,Senegal,2010,0,0,Vinhos de mesa
254,Serra Leoa,2010,0,0,Vinhos de mesa
255,Singapura,2010,0,0,Vinhos de mesa
256,Suazilândia,2010,0,0,Vinhos de mesa
257,Suécia,2010,0,0,Vinhos de mesa
258,Suíça,2010,2025,21600,Vinhos de mesa
259,Suriname,2010,1836,1269,Vinhos de mesa
260,Tailândia,2010,0,0,Vinhos de mesa
261,Taiwan (Formosa),2010,0,0,Vinhos de mesa
262,Tanzânia,2010,0,0,Vinhos de mesa
263,"Tcheca, República",2010,1091,5285,Vinhos de mesa
264,Togo,2010,0,0,Vinhos de mesa
265,Toquelau,2010,0,0,Vinhos de mesa
266,Trinidade Tobago,2010,0,0,Vinhos de mesa
267,Tunísia,2010,0,0,Vinhos de mesa
268,Turquia,2010,0,0,Vinhos de mesa
269,Tuvalu,2010,0,0,Vinhos de mesa
270,Uruguai,2010,914,2929,Vinhos de mesa
271,Vanuatu,2010,0,0,Vinhos de mesa
272,Venezuela,2010,0,0,Vinhos de mesa
273,Vietnã,2010,8820,9977,Vinhos de mesa
274,Afeganistão,2011,0,0,Vinhos de mesa
275,África do Sul,2011,0,0,Vinhos de mesa
276,"Alemanha, República Democrática",2011,36070,144150,Vinhos de mesa
277,Angola,2011,13889,69001,Vinhos de mesa
278,Anguilla,2011,0,0,Vinhos de mesa
279,Antígua e Barbuda,2011,0,0,Vinhos de mesa
280,Antilhas Holandesas,2011,7335,10188,Vinhos de mesa
281,Arábia Saudita,2011,0,0,Vinhos de mesa
282,Argentina,2011,13253,55460,Vinhos de mesa
283,Aruba,2011,900,1680,Vinhos de mesa
284,Austrália,2011,3632,40704,Vinhos de mesa
285,Áustria,2011,0,0,Vinhos de mesa
286,Bahamas,2011,4529,28810,Vinhos de mesa
287,Bangladesh,2011,0,0,Vinhos de mesa
288,Barbados,2011,0,0,Vinhos de mesa
289,Barein,2011,0,0,Vinhos de mesa
290,Bélgica,2011,11802,62339,Vinhos de mesa
291,Belice,2011,0,0,Vinhos de mesa
292,Benin,2011,0,0,Vinhos de mesa
293,Bermudas,2011,0,0,Vinhos de mesa
294,Bolívia,2011,12775,20215,Vinhos de mesa
295,Bósnia-Herzegovina,2011,0,0,Vinhos de mesa
296,Brasil,2011,0,0,Vinhos de mesa
297,Bulgária,2011,0,0,Vinhos de mesa
298,Cabo Verde,2011,600,825,Vinhos de mesa
